#{"t_start": 1754140960.1297174, "env_id": "None"}
r,l,t
-241.0,500,231.153547
-103.5,500,232.164556
-12.0,500,233.216545
-16.0,500,234.186411
-238.0,500,235.154736
-239.0,500,236.080685
-21.0,500,237.016903
-236.0,500,237.915829
-47.5,500,238.952753
-244.5,500,239.900908
-44.5,500,240.853376
-66.0,500,241.76818
-8.5,500,242.684372
-57.5,500,243.61182
-114.0,500,244.558605
-104.5,500,245.644389
-15.5,500,246.598873
-230.0,500,247.556679
-16.0,500,248.484731
-140.0,500,249.439368
-225.0,500,250.401661
-34.0,500,251.318834
-60.5,500,252.238694
-7.5,500,253.179956
-249.5,500,254.135293
-21.0,500,255.149556
-244.5,500,256.116265
-50.5,500,257.034752
-235.5,500,257.949906
-82.0,500,258.937632
-246.0,500,259.847186
-141.5,500,261.056442
-239.0,500,261.990035
-243.5,500,263.134734
-18.5,500,264.118103
-77.0,500,265.112422
-33.0,500,266.134894
